pressure,temperature_mean,salinity_mean
491,13.931228829265088,38.68489136197983
492,13.930034230326859,38.68469651527834
493,13.928813724763069,38.68449213221936
494,13.927576549467322,38.6842790106129
495,13.926328695714524,38.684056794390735
496,13.925062981355335,38.68382001770246
497,13.923777640051949,38.68356933837075
498,13.922475256860052,38.68330788391585
499,13.92117286064122,38.68304402459254
500,13.919872597030832,38.682783311067325
501,13.91857404779921,38.68252719705195
502,13.917282082460678,38.682279772392505
503,13.916004870217487,38.68204367140666
504,13.914753809657869,38.68182050345166
505,13.913538297814503,38.68161085848867
506,13.912351119070276,38.6814101213496
507,13.911176529551515,38.68120869814677
508,13.909989135197938,38.6809938157984
509,13.908765558436325,38.680761222079944
510,13.907471693702796,38.680501169495514
511,13.906109895760018,38.68021464955509
512,13.904696171365135,38.67990555781747
513,13.903244475638202,38.679578644823806
514,13.90176928311288,38.67923827809491
515,13.900287554382704,38.67889107718359
516,13.898814859305364,38.67854336011519
517,13.897370336669159,38.67820275940824
518,13.895956327327443,38.67787075227594
519,13.894573445247973,38.67754871133978
520,13.893192775390698,38.67723030713333
521,13.89181384513537,38.67691735632839
522,13.890426783685495,38.67661065731164
523,13.88904158079268,38.67631204734616
524,13.887665400627077,38.67602302768054
525,13.886304229326381,38.67574233559406
526,13.884961774067802,38.67546983283598
527,13.883633932878245,38.67520256741956
528,13.882318512203588,38.67493789818851
529,13.881022583400814,38.674675225389514
530,13.879750053515066,38.67441269309277
531,13.878491056219028,38.67414659485049
532,13.877238607792442,38.67387554284278
533,13.87598184101443,38.67359902045847
534,13.87470684257956,38.67331526838512
535,13.873405045651097,38.673023090741104
536,13.872072309984791,38.67272261234162
537,13.870703662761233,38.6724141114453
538,13.869291709944829,38.67209723247794
539,13.867814051035392,38.671767553263635
540,13.866246907259525,38.671418619378564
541,13.86446319805069,38.67101325931901
542,13.862471247386107,38.67055273064164
543,13.860292099462653,38.670045570088256
544,13.85793516725702,38.6694985010561
545,13.855452280345412,38.66892395424249
546,13.852895744261634,38.66833413085857
547,13.850316883855859,38.66774069224505
548,13.84777327187708,38.667155760558664
549,13.845324442613402,38.66659250236082
550,13.843021590172043,38.66606117331963
551,13.84081953570553,38.66555179002307
552,13.838632906875521,38.665041336152385
553,13.836490109781979,38.664535999392314
554,13.834396820740412,38.66403821760085
555,13.832336100079596,38.66354820623769
556,13.830320936458605,38.6630708138852
557,13.828361340727268,38.66261007749484
558,13.826464101064182,38.662169328304
559,13.82463342687069,38.66174879985105
560,13.822878196210304,38.661348166113825
561,13.821212007338175,38.66096906397429
562,13.819616125467775,38.660606484938164
563,13.818074441506287,38.660256269874225
564,13.816577736769883,38.65991583715211
565,13.815102236663073,38.6595781345392
566,13.81361519734924,38.65923692979824
567,13.812114724852401,38.65888410686979
568,13.810590345801817,38.6585135419466
569,13.809027095659557,38.65812450041961
570,13.807428154809442,38.6577210393332
571,13.805797214266262,38.65730735801394
572,13.804137574017219,38.65688753818277
573,13.802403519442517,38.65645097624674
574,13.80057246229513,38.655996147997826
575,13.798658810514395,38.65553088334366
576,13.796655411377815,38.65505195777791
577,13.794620929243369,38.654572591836235
578,13.792643189850224,38.654113264861756
579,13.79080314869791,38.65369234657266
580,13.789164165884998,38.6533230656531
581,13.787789747445144,38.653019439538525
582,13.786602781299171,38.65275738084467
583,13.78556812158642,38.65252322919722
584,13.784679788021666,38.65231571421954
585,13.783869461460649,38.6521239044167
586,13.78311942678215,38.651944648434956
587,13.782417989327723,38.65177470212761
588,13.781762601980493,38.65161352615611
589,13.781150368044305,38.65146078572581
590,13.78045718142095,38.651293015978034
591,13.779629744802051,38.65109641704226
592,13.778643038287886,38.650864873719456
593,13.77749560775758,38.65059731488453
594,13.776250000934093,38.65030534402831
595,13.774977969329353,38.65000401813888
596,13.773752644651488,38.649709019462314
597,13.77265143078108,38.64943727529385
598,13.771733582834315,38.64920071598221
599,13.770863665825873,38.64898016146789
600,13.7700044842881,38.64876861545192
601,13.769131276465002,38.64855767887194
602,13.768191272499257,38.64833303888955
603,13.767202111705062,38.648096749681365
604,13.766193147165813,38.647854144055515
605,13.765193731964912,38.64761055482012
606,13.764233219185748,38.64737131478329
607,13.763324995381918,38.647139181854676
608,13.762395812826766,38.64690353782824
609,13.761427649772244,38.6466625852853
610,13.76034520029121,38.646400609081965
611,13.759067303600892,38.64609684394313
612,13.757632989907314,38.64575816630283
613,13.756090436555638,38.645394831178734
614,13.75448782089102,38.64501709358852
615,13.752873386686723,38.644635197084135
616,13.751286180251853,38.644256526180754
617,13.749749973789616,38.64388455690059
618,13.748295134010856,38.64352572238366
619,13.746919500841368,38.64317978634978
620,13.745560308916536,38.642836386422445
621,13.74421385276143,38.64249666497068
622,13.742885887909512,38.642163642361254
623,13.741582169894244,38.64184033896092
624,13.740306401001074,38.6415294541656
625,13.739043969076008,38.6412294111183
626,13.737791420723175,38.64093640431198
627,13.736552960378432,38.640648927173004
628,13.735317836155875,38.64036278048332
629,13.734082183856838,38.640075218787864
630,13.732851038681307,38.63978618279799
631,13.731626475321747,38.63949561165516
632,13.730413898425315,38.639204643837516
633,13.729214497887853,38.638913740330544
634,13.728006448421322,38.63861923742673
635,13.726785916373679,38.63831545411842
636,13.725555467504726,38.63800126512575
637,13.724322128301344,38.63767988600077
638,13.723064356166967,38.63734771146842
639,13.721764525910961,38.63700450351429
640,13.720428843355709,38.636654124741334
641,13.719063685462954,38.6363004593474
642,13.717672719058939,38.63594634871981
643,13.71625587159525,38.635592359135
644,13.714809810534991,38.635238589090555
645,13.71333911052822,38.63488755495401
646,13.711837282734646,38.63453437077591
647,13.710297819159095,38.63417415018024
648,13.708732106668066,38.63381019167763
649,13.707153909295858,38.63344565728576
650,13.70557950207334,38.63308394641643
651,13.704021521168128,38.63272702222017
652,13.702421859048837,38.63235449299936
653,13.700740837741561,38.631956655817106
654,13.698992623565667,38.63154071334626
655,13.69720217254059,38.631113196796356
656,13.695322459295296,38.63066388956219
657,13.693371666033112,38.63019797433709
658,13.691387494078317,38.629725040290765
659,13.689438422999809,38.62926068227666
660,13.687594620080013,38.628820825150214
661,13.685813617487247,38.628397487614244
662,13.683993827582086,38.627968020783996
663,13.682167542610685,38.62753742813412
664,13.68037803247866,38.627113017312006
665,13.678619528552161,38.62669177744195
666,13.6769045075314,38.626274828974196
667,13.675236939417614,38.625863694373585
668,13.673627244104642,38.62546081640657
669,13.672101353358757,38.62507140470675
670,13.67063760819674,38.624689032095105
671,13.669150980175095,38.624294924757464
672,13.66766596712933,38.623897438264194
673,13.66618848395779,38.62349946284338
674,13.664707711200132,38.62310083919168
675,13.663209111952163,38.62270206776025
676,13.6617071307484,38.62230765112974
677,13.660229270774463,38.621924910564815
678,13.658792633947243,38.621558622901304
679,13.657392845256124,38.62120729827329
680,13.655988718661582,38.62085676215176
681,13.65456999935516,38.62050336443511
682,13.653135470768968,38.62014634153138
683,13.651691823230054,38.61978724583712
684,13.650236886407285,38.61942301034286
685,13.64878237876905,38.61905537765808
686,13.647347705089226,38.618689825291234
687,13.645932539321263,38.61832527646895
688,13.644561879428718,38.61796874984825
689,13.643250796415675,38.61762466113631
690,13.642010547896742,38.617296526497306
691,13.640824680684975,38.61698224854358
692,13.639682637846452,38.61668116877868
693,13.638600524255956,38.61639941406405
694,13.637572192061791,38.616134041037775
695,13.636595499654097,38.615883931842134
696,13.635671715333721,38.61564993763221
697,13.63476358560528,38.61542039022337
698,13.633868310135776,38.61519466306342
699,13.632994905466008,38.61497542998032
700,13.632142733225999,38.61476209183583
701,13.631216578537748,38.61453074534778
702,13.630189477756055,38.61427449052381
703,13.62908874343684,38.61400001053611
704,13.627947227288942,38.61371376076668
705,13.626782727760563,38.61341833211092
706,13.625610041525796,38.61311712262567
707,13.624447946937137,38.612815289223384
708,13.623314874665496,38.61251693593103
709,13.622230675246405,38.61222555654904
710,13.621216884366111,38.61194457299088
711,13.620242741602588,38.611668111198405
712,13.619258672939614,38.6113859356765
713,13.618244823564439,38.61109435009056
714,13.617185383748179,38.61079103432999
715,13.61607991351787,38.61047866168081
716,13.614940140742489,38.61016300849374
717,13.61377692068595,38.6098484604275
718,13.612599777012827,38.60953882438566
719,13.611414695054213,38.60923684298585
720,13.610219668599182,38.608942634293285
721,13.609025150993173,38.60865718496956
722,13.607840448558242,38.60838062838883
723,13.60667920148169,38.60811321616441
724,13.605523685075076,38.60784529689978
725,13.604362967350685,38.607571160248575
726,13.603208274541503,38.60729186839476
727,13.602071805934052,38.60700944272726
728,13.600958581850229,38.606725070448825
729,13.59988847664212,38.606443137774725
730,13.598872935757443,38.606168938894086
731,13.597926329967382,38.60590804133809
732,13.59709248218888,38.60567345435116
733,13.596379371893338,38.605469632873366
734,13.595777758356009,38.605297149992246
735,13.595263595676565,38.6051496185371
736,13.594810235531552,38.60501979000316
737,13.594389384281875,38.604900540340054
738,13.593938133801036,38.60477440633573
739,13.593422955475942,38.60463253488738
740,13.592824248336102,38.6044708287502
741,13.592126052486307,38.60428536702687
742,13.591298159735153,38.60406649411085
743,13.590309567979403,38.6038013515256
744,13.589178050955363,38.6034927822352
745,13.587935337795273,38.603150144612506
746,13.586626759131992,38.60278696409512
747,13.58529452137237,38.602416116510284
748,13.583974431451683,38.60205022412514
749,13.582697584912761,38.60169877550725
750,13.581470553036393,38.60136230052326
751,13.580305962134453,38.601047542711775
752,13.579230527638831,38.600764441471355
753,13.57820164058835,38.60049985197124
754,13.577189515184836,38.60024434074793
755,13.57618228600755,38.59999201367463
756,13.575178565213427,38.599742106593936
757,13.574174080671753,38.59949456030398
758,13.573166358413028,38.59924906875694
759,13.572160430180862,38.599006568393946
760,13.571166087363661,38.598767114830984
761,13.570190591652636,38.59852849785602
762,13.569227849156853,38.59828825984856
763,13.568279620853499,38.59804561049727
764,13.567353163937836,38.59780157282048
765,13.566453684115936,38.59755705963992
766,13.56558420232371,38.597312587983794
767,13.564748366902226,38.59706956434475
768,13.563944829619716,38.5968283671111
769,13.563172091679707,38.5965908865785
770,13.562420452327366,38.596357965826165
771,13.561677949873754,38.5961301066557
772,13.560897634938978,38.59590163933624
773,13.56007662016105,38.595673240998266
774,13.559212198073464,38.59544213171506
775,13.558301024823978,38.59520534869888
776,13.557343378618857,38.59495752575427
777,13.556344567725226,38.59469847446618
778,13.555311422026096,38.59443063792818
779,13.554250556287181,38.594154433314685
780,13.55315862275589,38.59387006711752
781,13.552043056836208,38.59357918740147
782,13.550925868829983,38.5932870176502
783,13.549823212300316,38.59299989312546
784,13.548724473654902,38.59272020372596
785,13.547648409794824,38.592453026142095
786,13.546613982164386,38.59220414341477
787,13.545629817701414,38.59197324267491
788,13.544697231416352,38.59175633327044
789,13.543825355093736,38.5915543926247
790,13.54301695493881,38.591367515424956
791,13.542243619649131,38.59118856667139
792,13.541489731220919,38.59101218811547
793,13.540741667208373,38.59083340163183
794,13.539978244387251,38.59064410289944
