pressure,temperature,salinity
96,13.785671875,38.40065625
97,13.7925,38.403
98,13.7925,38.403
99,13.8536,38.425
100,13.855907407407408,38.42681481481481
101,13.8625,38.432
102,13.86416803840878,38.43283401920439
103,13.8665,38.434
104,13.866944444444444,38.43548148148148
105,13.8671,38.436
106,13.864492592592592,38.43696570644718
107,13.8644,38.437
108,13.863554458161866,38.43662139917695
109,13.8577,38.434
110,13.810035802469134,38.42482578875171
111,13.7434,38.412
112,13.674437037037036,38.394962962962964
113,13.6503,38.389
114,13.60230438957476,38.379342935528115
115,13.6006,38.379
116,13.600483984375,38.379
117,13.5979,38.379
118,13.59798340192044,38.37941700960219
119,13.5981,38.38
120,13.603211111111111,38.382962962962964
121,13.605,38.384
122,13.622093004115227,38.3917256515775
123,13.6227,38.392
124,13.6237,38.395
125,13.6237,38.395
126,13.6240864,38.395196000000006
127,13.6375,38.402
128,13.63698,38.402312
129,13.6325,38.405
130,13.631787200000002,38.405
131,13.6292,38.405
132,13.640892592592595,38.40940740740741
133,13.6743,38.422
134,13.675356,38.422352
135,13.6773,38.423
136,13.6772296,38.423
137,13.6771,38.423
138,13.670219341563785,38.42174897119342
139,13.6606,38.42
140,13.654050000000002,38.419000000000004
141,13.6475,38.418
142,13.63514060356653,38.41566803840878
143,13.6263,38.414
144,13.6154784,38.41205600000001
145,13.6096,38.411
146,13.627748148148148,38.41766666666667
147,13.6341,38.42
148,13.6469576,38.426272
149,13.6505,38.428
150,13.68578,38.438976
151,13.6955,38.442
152,13.7183928,38.449056
153,13.7247,38.451
154,13.734263936889556,38.453452291510146
155,13.7364,38.454
156,13.804451199999999,38.475952
157,13.8232,38.482
158,13.8119888,38.480432
159,13.8089,38.48
160,13.786164,38.473728
161,13.7799,38.472
162,13.7655528,38.468864
163,13.7616,38.468
164,13.806312,38.480312000000005
165,13.8306,38.487
166,13.853603999999999,38.496719999999996
167,13.8661,38.502
168,13.872700000000002,38.5045
169,13.8793,38.507
170,13.8821864,38.508056
171,13.8875,38.51
172,13.900092800000001,38.513888
173,13.9458,38.528
174,13.9499704,38.529455999999996
175,13.9859,38.542
176,13.985757200000002,38.542
177,13.981081818181817,38.542116453794144
178,13.9929,38.547
179,13.9929,38.547
180,14.0171028,38.55672
181,14.0178,38.557
182,14.0264016,38.560584
183,14.0274,38.561
184,14.025511419984975,38.563797896318555
185,14.0247,38.565
186,14.019472727272728,38.56413598797896
187,14.0126,38.563
188,14.010255897821187,38.56269947407964
189,14.0048,38.562
190,14.005236799999999,38.562416
191,14.009,38.566
192,14.0104976,38.566624000000004
193,14.0234,38.572
194,14.0281,38.5735
195,14.0328,38.575
196,14.03311796875,38.57512890625
197,14.0402,38.578
198,14.044438281249999,38.58005078125
199,14.0464,38.581
200,14.04646875,38.5810859375
201,14.048,38.583
202,14.046837890625001,38.58505078125
203,14.0463,38.586
204,14.0463,38.58617146776406
205,14.0463,38.591
206,14.06045,38.5975
207,14.0746,38.604
208,14.099515226337449,38.60979423868313
209,14.1004,38.61
210,14.104885185185186,38.61207407407408
211,14.1177,38.618
212,14.123551851851852,38.62244444444445
213,14.1256,38.624
214,14.1256,38.624
215,14.129,38.627
216,14.130676953124999,38.6288984375
217,14.1343,38.633
218,14.137590625,38.636375
219,14.1382,38.637
220,14.1394,38.639
221,14.1394,38.639
222,14.13945048010974,38.6392524005487
223,14.1398,38.641
224,14.14025,38.641999999999996
225,14.1407,38.643
226,14.142218750000001,38.645531250000005
227,14.1425,38.646
228,14.1425,38.646
229,14.1463,38.651
230,14.146399451303155,38.65113717421125
231,14.1492,38.655
232,14.14964074074074,38.65525925925926
233,14.1509,38.656
234,14.152124279835393,38.658331961591216
235,14.153,38.66
236,14.1520592,38.662352
237,14.1518,38.663
238,14.152089711934158,38.66493141289437
239,14.1521,38.665
240,14.152165157750343,38.66517146776406
241,14.154,38.67
242,14.1542376,38.670216
243,14.1551,38.671
244,14.155452,38.671704
245,14.1561,38.673
246,14.15655,38.673
247,14.157,38.673
248,14.157592592592593,38.67448148148148
249,14.1578,38.675
250,14.157887379972566,38.6767475994513
251,14.1579,38.677
252,14.157414000000001,38.678944
253,14.1574,38.679
254,14.157414000000001,38.679056
255,14.1579,38.681
256,14.158004,38.681104
257,14.1589,38.682
258,14.1590944,38.682
259,14.1598,38.682
260,14.1596944,38.682352
261,14.1595,38.683
262,14.158625514403292,38.68358299039781
263,14.158,38.684
264,14.158148148148149,38.684
265,14.1582,38.684
266,14.158374759945131,38.68487379972565
267,14.1584,38.685
268,14.1585792,38.685896
269,14.1586,38.686
270,14.1586,38.686
271,14.1552952,38.686
272,14.1552,38.686
273,14.1569496,38.686972
274,14.149321200000001,38.687
275,14.1491,38.687
276,14.1422,38.69
277,14.1422,38.69
278,14.1484,38.693
