datetime,U_DYFAMED,datenum,lat,lon
2025-02-06 14:00:00,6.1,20125.583333333332,43.38,7.83
2025-02-06 15:00:00,5.4,20125.625,43.38,7.83
2025-02-06 16:00:00,4.4,20125.666666666668,43.38,7.83
2025-02-06 17:00:00,4.4,20125.708333333332,43.38,7.83
2025-02-06 18:00:00,4.3,20125.75,43.38,7.83
2025-02-06 19:00:00,4.5,20125.791666666668,43.38,7.83
2025-02-06 20:00:00,5.2,20125.833333333332,43.38,7.83
2025-02-06 21:00:00,7.1,20125.875,43.38,7.83
2025-02-06 22:00:00,7.6,20125.916666666668,43.38,7.83
2025-02-06 23:00:00,8.2,20125.958333333332,43.38,7.83
2025-02-07 00:00:00,8.5,20126.0,43.38,7.83
2025-02-07 01:00:00,8.6,20126.041666666668,43.38,7.83
2025-02-07 02:00:00,9.1,20126.083333333332,43.38,7.83
2025-02-07 03:00:00,9.0,20126.125,43.38,7.83
2025-02-07 04:00:00,10.2,20126.166666666668,43.38,7.83
2025-02-07 05:00:00,10.7,20126.208333333332,43.38,7.83
2025-02-07 06:00:00,10.8,20126.25,43.38,7.83
2025-02-07 07:00:00,11.6,20126.291666666668,43.38,7.83
2025-02-07 08:00:00,12.0,20126.333333333332,43.38,7.83
2025-02-07 09:00:00,12.7,20126.375,43.38,7.83
2025-02-07 10:00:00,10.9,20126.416666666668,43.38,7.83
2025-02-07 11:00:00,11.1,20126.458333333332,43.38,7.83
2025-02-07 12:00:00,11.0,20126.5,43.38,7.83
2025-02-07 13:00:00,11.9,20126.541666666668,43.38,7.83
2025-02-07 14:00:00,13.2,20126.583333333332,43.38,7.83
2025-02-07 15:00:00,12.3,20126.625,43.38,7.83
2025-02-07 16:00:00,11.5,20126.666666666668,43.38,7.83
2025-02-07 17:00:00,11.2,20126.708333333332,43.38,7.83
2025-02-07 18:00:00,11.8,20126.75,43.38,7.83
2025-02-07 19:00:00,11.4,20126.791666666668,43.38,7.83
2025-02-07 20:00:00,11.1,20126.833333333332,43.38,7.83
2025-02-07 21:00:00,11.3,20126.875,43.38,7.83
2025-02-07 22:00:00,11.9,20126.916666666668,43.38,7.83
2025-02-07 23:00:00,11.8,20126.958333333332,43.38,7.83
2025-02-08 00:00:00,11.8,20127.0,43.38,7.83
2025-02-08 01:00:00,12.1,20127.041666666668,43.38,7.83
2025-02-08 02:00:00,12.5,20127.083333333332,43.38,7.83
2025-02-08 03:00:00,11.9,20127.125,43.38,7.83
2025-02-08 04:00:00,12.3,20127.166666666668,43.38,7.83
2025-02-08 05:00:00,12.5,20127.208333333332,43.38,7.83
2025-02-08 06:00:00,,20127.25,43.38,7.83
2025-02-08 07:00:00,12.8,20127.291666666668,43.38,7.83
2025-02-08 08:00:00,13.0,20127.333333333332,43.38,7.83
2025-02-08 09:00:00,12.7,20127.375,43.38,7.83
2025-02-08 10:00:00,13.1,20127.416666666668,43.38,7.83
2025-02-08 11:00:00,13.6,20127.458333333332,43.38,7.83
2025-02-08 12:00:00,14.8,20127.5,43.38,7.83
2025-02-08 13:00:00,14.6,20127.541666666668,43.38,7.83
2025-02-08 14:00:00,14.4,20127.583333333332,43.38,7.83
2025-02-08 15:00:00,14.1,20127.625,43.38,7.83
2025-02-08 16:00:00,14.8,20127.666666666668,43.38,7.83
2025-02-08 17:00:00,14.5,20127.708333333332,43.38,7.83
2025-02-08 18:00:00,14.5,20127.75,43.38,7.83
2025-02-08 19:00:00,14.9,20127.791666666668,43.38,7.83
2025-02-08 20:00:00,13.7,20127.833333333332,43.38,7.83
2025-02-08 21:00:00,13.4,20127.875,43.38,7.83
2025-02-08 22:00:00,13.7,20127.916666666668,43.38,7.83
2025-02-08 23:00:00,13.0,20127.958333333332,43.38,7.83
2025-02-09 00:00:00,13.0,20128.0,43.38,7.83
2025-02-09 01:00:00,12.3,20128.041666666668,43.38,7.83
2025-02-09 02:00:00,12.3,20128.083333333332,43.38,7.83
2025-02-09 03:00:00,11.1,20128.125,43.38,7.83
2025-02-09 04:00:00,10.8,20128.166666666668,43.38,7.83
2025-02-09 05:00:00,10.4,20128.208333333332,43.38,7.83
2025-02-09 06:00:00,10.2,20128.25,43.38,7.83
2025-02-09 07:00:00,9.7,20128.291666666668,43.38,7.83
2025-02-09 08:00:00,9.4,20128.333333333332,43.38,7.83
2025-02-09 09:00:00,9.1,20128.375,43.38,7.83
2025-02-09 10:00:00,8.1,20128.416666666668,43.38,7.83
2025-02-09 11:00:00,6.7,20128.458333333332,43.38,7.83
2025-02-09 12:00:00,6.1,20128.5,43.38,7.83
2025-02-09 13:00:00,6.8,20128.541666666668,43.38,7.83
2025-02-09 14:00:00,5.9,20128.583333333332,43.38,7.83
2025-02-09 15:00:00,4.4,20128.625,43.38,7.83
2025-02-09 18:00:00,7.3,20128.75,43.38,7.83
2025-02-09 19:00:00,6.8,20128.791666666668,43.38,7.83
2025-02-09 21:00:00,,20128.875,43.38,7.83
2025-02-09 22:00:00,4.6,20128.916666666668,43.38,7.83
2025-02-09 23:00:00,3.7,20128.958333333332,43.38,7.83
2025-02-10 00:00:00,2.1,20129.0,43.38,7.83
2025-02-10 01:00:00,0.8,20129.041666666668,43.38,7.83
2025-02-10 02:00:00,1.2,20129.083333333332,43.38,7.83
2025-02-10 03:00:00,1.8,20129.125,43.38,7.83
2025-02-10 04:00:00,2.2,20129.166666666668,43.38,7.83
2025-02-10 05:00:00,2.4,20129.208333333332,43.38,7.83
2025-02-10 06:00:00,2.6,20129.25,43.38,7.83
2025-02-10 07:00:00,2.5,20129.291666666668,43.38,7.83
2025-02-10 08:00:00,2.7,20129.333333333332,43.38,7.83
2025-02-10 09:00:00,3.1,20129.375,43.38,7.83
2025-02-10 10:00:00,3.2,20129.416666666668,43.38,7.83
2025-02-10 11:00:00,3.6,20129.458333333332,43.38,7.83
2025-02-10 12:00:00,4.1,20129.5,43.38,7.83
2025-02-10 13:00:00,4.3,20129.541666666668,43.38,7.83
2025-02-10 14:00:00,3.7,20129.583333333332,43.38,7.83
2025-02-10 15:00:00,4.2,20129.625,43.38,7.83
2025-02-10 16:00:00,4.2,20129.666666666668,43.38,7.83
2025-02-10 17:00:00,3.7,20129.708333333332,43.38,7.83
2025-02-10 21:00:00,,20129.875,43.38,7.83
2025-02-10 23:00:00,1.3,20129.958333333332,43.38,7.83
2025-02-11 00:00:00,0.8,20130.0,43.38,7.83
2025-02-11 01:00:00,1.1,20130.041666666668,43.38,7.83
2025-02-11 02:00:00,1.3,20130.083333333332,43.38,7.83
2025-02-11 03:00:00,1.4,20130.125,43.38,7.83
2025-02-11 04:00:00,3.0,20130.166666666668,43.38,7.83
2025-02-11 05:00:00,2.9,20130.208333333332,43.38,7.83
2025-02-11 06:00:00,4.0,20130.25,43.38,7.83
2025-02-11 07:00:00,3.8,20130.291666666668,43.38,7.83
2025-02-11 08:00:00,4.0,20130.333333333332,43.38,7.83
2025-02-11 09:00:00,3.3,20130.375,43.38,7.83
2025-02-11 10:00:00,2.5,20130.416666666668,43.38,7.83
2025-02-11 11:00:00,2.9,20130.458333333332,43.38,7.83
2025-02-11 12:00:00,2.8,20130.5,43.38,7.83
2025-02-11 13:00:00,3.8,20130.541666666668,43.38,7.83
2025-02-11 14:00:00,3.9,20130.583333333332,43.38,7.83
2025-02-11 15:00:00,4.4,20130.625,43.38,7.83
2025-02-11 16:00:00,5.2,20130.666666666668,43.38,7.83
2025-02-11 17:00:00,5.6,20130.708333333332,43.38,7.83
2025-02-11 18:00:00,5.9,20130.75,43.38,7.83
2025-02-11 19:00:00,5.5,20130.791666666668,43.38,7.83
2025-02-11 20:00:00,5.6,20130.833333333332,43.38,7.83
2025-02-11 21:00:00,6.0,20130.875,43.38,7.83
2025-02-11 22:00:00,6.2,20130.916666666668,43.38,7.83
2025-02-11 23:00:00,6.4,20130.958333333332,43.38,7.83
2025-02-12 00:00:00,6.0,20131.0,43.38,7.83
2025-02-12 01:00:00,6.5,20131.041666666668,43.38,7.83
2025-02-12 02:00:00,5.7,20131.083333333332,43.38,7.83
2025-02-12 03:00:00,6.6,20131.125,43.38,7.83
2025-02-12 04:00:00,6.6,20131.166666666668,43.38,7.83
2025-02-12 05:00:00,7.5,20131.208333333332,43.38,7.83
2025-02-12 06:00:00,7.3,20131.25,43.38,7.83
2025-02-12 07:00:00,7.4,20131.291666666668,43.38,7.83
2025-02-12 08:00:00,8.8,20131.333333333332,43.38,7.83
2025-02-12 09:00:00,7.3,20131.375,43.38,7.83
2025-02-12 10:00:00,8.1,20131.416666666668,43.38,7.83
2025-02-12 15:00:00,,20131.625,43.38,7.83
2025-02-12 16:00:00,8.9,20131.666666666668,43.38,7.83
2025-02-12 17:00:00,7.7,20131.708333333332,43.38,7.83
2025-02-12 18:00:00,8.3,20131.75,43.38,7.83
2025-02-12 19:00:00,8.8,20131.791666666668,43.38,7.83
2025-02-12 20:00:00,8.1,20131.833333333332,43.38,7.83
2025-02-12 21:00:00,8.5,20131.875,43.38,7.83
2025-02-12 22:00:00,8.3,20131.916666666668,43.38,7.83
2025-02-12 23:00:00,8.2,20131.958333333332,43.38,7.83
2025-02-13 00:00:00,8.1,20132.0,43.38,7.83
2025-02-13 01:00:00,7.7,20132.041666666668,43.38,7.83
2025-02-13 02:00:00,7.9,20132.083333333332,43.38,7.83
2025-02-13 03:00:00,7.4,20132.125,43.38,7.83
2025-02-13 04:00:00,6.8,20132.166666666668,43.38,7.83
2025-02-13 05:00:00,7.1,20132.208333333332,43.38,7.83
2025-02-13 06:00:00,7.5,20132.25,43.38,7.83
2025-02-13 07:00:00,6.8,20132.291666666668,43.38,7.83
2025-02-13 08:00:00,6.5,20132.333333333332,43.38,7.83
2025-02-13 09:00:00,5.4,20132.375,43.38,7.83
2025-02-13 10:00:00,4.6,20132.416666666668,43.38,7.83
2025-02-13 11:00:00,4.4,20132.458333333332,43.38,7.83
2025-02-13 12:00:00,3.7,20132.5,43.38,7.83
2025-02-13 13:00:00,2.5,20132.541666666668,43.38,7.83
2025-02-13 14:00:00,1.2,20132.583333333332,43.38,7.83
2025-02-13 15:00:00,0.7,20132.625,43.38,7.83
2025-02-13 16:00:00,2.2,20132.666666666668,43.38,7.83
2025-02-13 17:00:00,2.6,20132.708333333332,43.38,7.83
2025-02-13 18:00:00,3.9,20132.75,43.38,7.83
2025-02-13 19:00:00,4.7,20132.791666666668,43.38,7.83
2025-02-13 20:00:00,6.7,20132.833333333332,43.38,7.83
2025-02-13 21:00:00,6.7,20132.875,43.38,7.83
2025-02-13 22:00:00,7.2,20132.916666666668,43.38,7.83
2025-02-13 23:00:00,7.4,20132.958333333332,43.38,7.83
2025-02-14 00:00:00,7.7,20133.0,43.38,7.83
2025-02-14 01:00:00,8.5,20133.041666666668,43.38,7.83
2025-02-14 02:00:00,6.7,20133.083333333332,43.38,7.83
2025-02-14 03:00:00,3.0,20133.125,43.38,7.83
2025-02-14 04:00:00,3.3,20133.166666666668,43.38,7.83
2025-02-14 05:00:00,3.6,20133.208333333332,43.38,7.83
2025-02-14 06:00:00,3.5,20133.25,43.38,7.83
2025-02-14 07:00:00,3.1,20133.291666666668,43.38,7.83
2025-02-14 08:00:00,2.5,20133.333333333332,43.38,7.83
2025-02-14 09:00:00,1.2,20133.375,43.38,7.83
2025-02-14 10:00:00,2.0,20133.416666666668,43.38,7.83
2025-02-14 11:00:00,3.5,20133.458333333332,43.38,7.83
2025-02-14 12:00:00,10.0,20133.5,43.38,7.83
2025-02-14 13:00:00,12.8,20133.541666666668,43.38,7.83
2025-02-14 14:00:00,14.0,20133.583333333332,43.38,7.83
2025-02-14 15:00:00,14.4,20133.625,43.38,7.83
2025-02-14 16:00:00,13.8,20133.666666666668,43.38,7.83
2025-02-14 17:00:00,14.1,20133.708333333332,43.38,7.83
2025-02-14 18:00:00,11.8,20133.75,43.38,7.83
2025-02-14 19:00:00,11.6,20133.791666666668,43.38,7.83
2025-02-14 20:00:00,13.5,20133.833333333332,43.38,7.83
2025-02-14 21:00:00,12.4,20133.875,43.38,7.83
2025-02-14 22:00:00,11.1,20133.916666666668,43.38,7.83
2025-02-14 23:00:00,10.1,20133.958333333332,43.38,7.83
2025-02-15 00:00:00,9.1,20134.0,43.38,7.83
2025-02-15 01:00:00,5.3,20134.041666666668,43.38,7.83
2025-02-15 02:00:00,8.8,20134.083333333332,43.38,7.83
2025-02-15 03:00:00,10.8,20134.125,43.38,7.83
2025-02-15 04:00:00,9.0,20134.166666666668,43.38,7.83
2025-02-15 05:00:00,11.4,20134.208333333332,43.38,7.83
2025-02-15 06:00:00,11.1,20134.25,43.38,7.83
2025-02-15 07:00:00,7.6,20134.291666666668,43.38,7.83
2025-02-15 08:00:00,5.1,20134.333333333332,43.38,7.83
2025-02-15 09:00:00,2.9,20134.375,43.38,7.83
2025-02-15 10:00:00,1.5,20134.416666666668,43.38,7.83
2025-02-15 11:00:00,6.5,20134.458333333332,43.38,7.83
2025-02-15 15:00:00,3.6,20134.625,43.38,7.83
2025-02-15 16:00:00,2.1,20134.666666666668,43.38,7.83
2025-02-15 17:00:00,3.2,20134.708333333332,43.38,7.83
2025-02-15 18:00:00,2.2,20134.75,43.38,7.83
2025-02-15 19:00:00,2.4,20134.791666666668,43.38,7.83
2025-02-15 20:00:00,2.2,20134.833333333332,43.38,7.83
2025-02-15 21:00:00,2.4,20134.875,43.38,7.83
2025-02-15 22:00:00,3.2,20134.916666666668,43.38,7.83
2025-02-15 23:00:00,3.8,20134.958333333332,43.38,7.83
2025-02-16 00:00:00,3.7,20135.0,43.38,7.83
2025-02-16 01:00:00,3.3,20135.041666666668,43.38,7.83
2025-02-16 02:00:00,5.3,20135.083333333332,43.38,7.83
2025-02-16 03:00:00,5.4,20135.125,43.38,7.83
2025-02-16 04:00:00,4.3,20135.166666666668,43.38,7.83
2025-02-16 05:00:00,2.7,20135.208333333332,43.38,7.83
2025-02-16 06:00:00,3.7,20135.25,43.38,7.83
2025-02-16 07:00:00,3.0,20135.291666666668,43.38,7.83
2025-02-16 08:00:00,1.3,20135.333333333332,43.38,7.83
2025-02-16 09:00:00,1.6,20135.375,43.38,7.83
2025-02-16 10:00:00,3.3,20135.416666666668,43.38,7.83
2025-02-16 11:00:00,2.5,20135.458333333332,43.38,7.83
2025-02-16 12:00:00,1.9,20135.5,43.38,7.83
