Depth_m,SoundSpeed_mps,Temperature_degC,Salinity_PSU
79,1508.97438901907,14.08585,38.26575
80,1508.9842713641,14.0831972885606,38.2670153572388
81,1508.99463340007,14.079639214897,38.2709825319309
82,1508.9775390293,14.0688731719387,38.2714737110719
83,1509.00564975185,14.071025,38.275
84,1509.01098814472,14.0666066381226,38.2771599479661
85,1509.03775352793,14.0683625,38.280625
86,1509.0737729451,14.0727306669428,38.284793357665
87,1509.1255695897,14.081275,38.290875
88,1509.16470422149,14.087182104752,38.2935963308398
89,1509.22548706849,14.0988,38.299
90,1509.25341773076,14.1013365422168,38.3014015495987
91,1509.30799399732,14.1112375,38.30625
92,1509.32777650185,14.11165612,38.3075613334749
93,1509.36682395128,14.116625,38.312625
94,1509.39880801086,14.1202598169444,38.3154585829617
95,1509.42075345472,14.1205345741609,38.3188662659654
96,1509.45106728711,14.1238684478601,38.3211356612332
97,1509.47641408089,14.1256625,38.323375
98,1509.48675569691,14.1233822099947,38.32404522
99,1509.53131830146,14.1303625,38.328375
100,1509.53257585645,14.1250822198477,38.329458527797
101,1509.55776964468,14.1266125,38.33225
102,1509.54259690437,14.116359376706,38.3329276374837
103,1509.56740221194,14.1182357349537,38.3345221354167
104,1509.55829753463,14.1093554651366,38.3365417017892
105,1509.60270541986,14.116625,38.34
106,1509.61687054043,14.1144442211869,38.3434719889546
107,1509.63764864324,14.1146,38.34625
108,1509.63181434685,14.1067311755798,38.3482964246499
109,1509.65875086956,14.1084395399306,38.352022049142
110,1509.64866978689,14.0997923644521,38.3526706088445
111,1509.62994132177,14.0885654513889,38.3530196759259
112,1509.61599406144,14.0786696034252,38.3537891656252
113,1509.62092631341,14.0747375,38.354375
114,1509.63177587719,14.0721251988847,38.3563091299012
115,1509.63881933826,14.0687625,38.357125
116,1509.66947076721,14.0719943021612,38.3599114343618
117,1509.66967991935,14.0666375,38.360375
118,1509.67778318817,14.063741216584,38.3608439786142
119,1509.67081749709,14.0565125,38.360375
120,1509.66332160385,14.0487721582819,38.3607973528807
121,1509.67449735004,14.0465,38.362125
122,1509.68222429976,14.0434182533863,38.362772938635
123,1509.69566375024,14.0420375,38.363625
124,1509.69854605092,14.0376451814089,38.3637633330325
125,1509.71148867267,14.036184962046,38.3644227563384
126,1509.72271530714,14.0331793437065,38.367673009038
127,1509.75190127086,14.0358697135576,38.3706673395309
128,1509.79004329239,14.0408057402304,38.3750600429657
129,1509.84449098187,14.050075,38.381375
130,1509.86889126709,14.0510025107066,38.3850663456595
131,1509.89164421051,14.0522,38.38675
132,1509.91658818781,14.0540148707929,38.3886019685077
133,1509.94664920785,14.0561875,38.393625
134,1509.96593790729,14.0562311871446,38.3954975184319
135,1509.96048128669,14.0489,38.3965
136,1509.97237414817,14.0470069711394,38.3974277045602
137,1509.98394223685,14.0447125,38.399125
138,1510.00382216874,14.0445785733522,38.4019246603902
139,1509.99826037647,14.037725,38.401625
140,1510.02380349341,14.0394571990254,38.4041648445072
141,1510.03729927207,14.0376125,38.40625
142,1510.04822643059,14.0350477329607,38.408129481478
143,1510.07505947991,14.0366625,38.412
144,1510.08035382237,14.0320965097137,38.4145105323369
145,1510.07800620872,14.0259875,38.414875
146,1510.09587538873,14.0253562141025,38.4173434104049
147,1510.09789611998,14.0203,38.4185
148,1510.11647146905,14.0197717568071,38.4212682749155
149,1510.15612005485,14.0254088028374,38.4250585485964
150,1510.23730299926,14.0427662193651,38.4319830480753
151,1510.25723969119,14.04315,38.4335
152,1510.28155604899,14.0443426554996,38.4364420911781
153,1510.30294335777,14.0451625,38.438
154,1510.2948532951,14.037179554294,38.4385748525396
155,1510.3065773908,14.0351375,38.43975
156,1510.29043056143,14.0247321344742,38.44010682
157,1510.3220480363,14.0284125,38.4425
158,1510.31611504006,14.020867440482,38.4436843819184
159,1510.31433988252,14.0147625,38.4445
